,shape_id,shape_pt_sequence,elevation
0,60-1-d12-1.1.O,1,55
1,60-1-d12-1.1.O,2,55
2,60-1-d12-1.1.O,3,59
3,60-1-d12-1.1.O,4,59
4,60-1-d12-1.1.O,5,58
5,60-1-d12-1.1.O,6,58
6,60-1-d12-1.1.O,7,58
7,60-1-d12-1.1.O,8,54
8,60-1-d12-1.1.O,9,54
9,60-1-d12-1.1.O,10,54
10,60-1-d12-1.1.O,11,54
11,60-1-d12-1.1.O,12,53
12,60-1-d12-1.1.O,13,53
13,60-1-d12-1.1.O,14,53
14,60-1-d12-1.1.O,15,53
15,60-1-d12-1.1.O,16,51
16,60-1-d12-1.1.O,17,51
17,60-1-d12-1.1.O,18,51
18,60-1-d12-1.1.O,19,51
19,60-1-d12-1.1.O,20,52
20,60-1-d12-1.1.O,21,52
21,60-1-d12-1.1.O,22,52
22,60-1-d12-1.1.O,23,52
23,60-1-d12-1.1.O,24,52
24,60-1-d12-1.1.O,25,52
25,60-1-d12-1.1.O,26,52
26,60-1-d12-1.1.O,27,52
27,60-1-d12-1.1.O,28,46
28,60-1-d12-1.1.O,29,46
29,60-1-d12-1.1.O,30,46
30,60-1-d12-1.1.O,31,46
31,60-1-d12-1.1.O,32,46
32,60-1-d12-1.1.O,33,46
33,60-1-d12-1.1.O,34,46
34,60-1-d12-1.1.O,35,46
35,60-1-d12-1.1.O,36,45
36,60-1-d12-1.1.O,37,46
37,60-1-d12-1.1.O,38,46
38,60-1-d12-1.1.O,39,46
39,60-1-d12-1.1.O,40,46
40,60-1-d12-1.1.O,41,46
41,60-1-d12-1.1.O,42,46
42,60-1-d12-1.1.O,43,46
43,60-1-d12-1.1.O,44,46
44,60-1-d12-1.1.O,45,46
45,60-1-d12-1.1.O,46,44
46,60-1-d12-1.1.O,47,44
47,60-1-d12-1.1.O,48,44
48,60-1-d12-1.1.O,49,42
49,60-1-d12-1.1.O,50,42
50,60-1-d12-1.1.O,51,42
51,60-1-d12-1.1.O,52,33
52,60-1-d12-1.1.O,53,33
53,60-1-d12-1.1.O,54,33
54,60-1-d12-1.1.O,55,28
55,60-1-d12-1.1.O,56,28
56,60-1-d12-1.1.O,57,29
57,60-1-d12-1.1.O,58,29
58,60-1-d12-1.1.O,59,29
59,60-1-d12-1.1.O,60,29
60,60-1-d12-1.1.O,61,22
61,60-1-d12-1.1.O,62,22
62,60-1-d12-1.1.O,63,22
63,60-1-d12-1.1.O,64,19
64,60-1-d12-1.1.O,65,19
65,60-1-d12-1.1.O,66,11
66,60-1-d12-1.1.O,67,11
67,60-1-d12-1.1.O,68,11
68,60-1-d12-1.1.O,69,7
69,60-1-d12-1.1.O,70,7
70,60-1-d12-1.1.O,71,7
71,60-1-d12-1.1.O,72,7
72,60-1-d12-1.1.O,73,20
73,60-1-d12-1.1.O,74,20
74,60-1-d12-1.1.O,75,20
75,60-1-d12-1.1.O,76,19
76,60-1-d12-1.1.O,77,15
77,60-1-d12-1.1.O,78,15
78,60-1-d12-1.1.O,79,17
79,60-1-d12-1.1.O,80,17
80,60-1-d12-1.1.O,81,11
81,60-1-d12-1.1.O,82,11
82,60-1-d12-1.1.O,83,11
83,60-1-d12-1.1.O,84,11
84,60-1-d12-1.1.O,85,15
85,60-1-d12-1.1.O,86,15
86,60-1-d12-1.1.O,87,15
87,60-1-d12-1.1.O,88,15
88,60-1-d12-1.1.O,89,19
89,60-1-d12-1.1.O,90,19
90,60-1-d12-1.1.O,91,19
91,60-1-d12-1.1.O,92,19
92,60-1-d12-1.1.O,93,19
93,60-1-d12-1.1.O,94,21
94,60-1-d12-1.1.O,95,21
95,60-1-d12-1.1.O,96,18
96,60-1-d12-1.1.O,97,18
97,60-1-d12-1.1.O,98,18
98,60-1-d12-1.1.O,99,18
99,60-1-d12-1.1.O,100,18
100,60-1-d12-1.1.O,101,21
101,60-1-d12-1.1.O,102,21
102,60-1-d12-1.1.O,103,10
103,60-1-d12-1.1.O,104,13
104,60-1-d12-1.1.O,105,13
105,60-1-d12-1.1.O,106,13
106,60-1-d12-1.1.O,107,13
107,60-1-d12-1.1.O,108,13
108,60-1-d12-1.1.O,109,13
109,60-1-d12-1.1.O,110,8
110,60-1-d12-1.1.O,111,8
111,60-1-d12-1.1.O,112,8
112,60-1-d12-1.1.O,113,11
113,60-1-d12-1.1.O,114,11
114,60-1-d12-1.1.O,115,11
115,60-1-d12-1.1.O,116,10
116,60-1-d12-1.1.O,117,10
117,60-1-d12-1.1.O,118,8
118,60-1-d12-1.1.O,119,10
119,60-1-d12-1.1.O,120,5
120,60-1-d12-1.1.O,121,5
121,60-1-d12-1.1.O,122,5
122,60-1-d12-1.1.O,123,5
123,60-1-d12-1.1.O,124,5
124,60-1-d12-1.1.O,125,5
125,60-1-d12-1.1.O,126,5
126,60-1-d12-1.1.O,127,5
127,60-1-d12-1.1.O,128,7
128,60-1-d12-1.1.O,129,6
129,60-1-d12-1.1.O,130,6
130,60-1-d12-1.1.O,131,6
131,60-1-d12-1.1.O,132,4
132,60-1-d12-1.1.O,133,4
133,60-1-d12-1.1.O,134,7
134,60-1-d12-1.1.O,135,7
135,60-1-d12-1.1.O,136,7
136,60-1-d12-1.1.O,137,6
137,60-1-d12-1.1.O,138,13
138,60-1-d12-1.1.O,139,13
139,60-1-d12-1.1.O,140,4
140,60-1-d12-1.1.O,141,4
141,60-1-d12-1.1.O,142,5
142,60-1-d12-1.1.O,143,4
143,60-1-d12-1.1.O,144,5
144,60-1-d12-1.1.O,145,5
145,60-1-d12-1.1.O,146,5
146,60-1-d12-1.1.O,147,5
147,60-1-d12-1.1.O,148,5
148,60-1-d12-1.1.O,149,4
149,60-1-d12-1.1.O,150,4
150,60-1-d12-1.1.O,151,2
151,60-1-d12-1.1.O,152,2
152,60-1-d12-1.1.O,153,2
153,60-1-d12-1.1.O,154,3
154,60-1-d12-1.1.O,155,3
155,60-1-d12-1.1.O,156,3
156,60-1-d12-1.1.O,157,3
157,60-1-d12-1.1.O,158,5
158,60-1-d12-1.1.O,159,5
159,60-1-d12-1.1.O,160,5
160,60-1-d12-1.1.O,161,3
161,60-1-d12-1.1.O,162,3
162,60-1-d12-1.1.O,163,3
163,60-1-d12-1.1.O,164,3
164,60-1-d12-1.1.O,165,3
165,60-1-d12-1.1.O,166,3
166,60-1-d12-1.1.O,167,3
167,60-1-d12-1.1.O,168,3
168,60-1-d12-1.1.O,169,3
169,60-1-d12-1.1.O,170,3
170,60-1-d12-1.1.O,171,4
171,60-1-d12-1.1.O,172,4
172,60-1-d12-1.1.O,173,4
173,60-1-d12-1.1.O,174,4
174,60-1-d12-1.1.O,175,4
175,60-1-d12-1.1.O,176,4
176,60-1-d12-1.1.O,177,4
177,60-1-d12-1.1.O,178,4
178,60-1-d12-1.1.O,179,4
179,60-1-d12-1.1.O,180,4
180,60-1-d12-1.1.O,181,4
181,60-1-d12-1.1.O,182,4
182,60-1-d12-1.1.O,183,4
183,60-1-d12-1.1.O,184,4
184,60-1-d12-1.1.O,185,5
185,60-1-d12-1.1.O,186,5
186,60-1-d12-1.1.O,187,5
187,60-1-d12-1.1.O,188,5
188,60-1-d12-1.1.O,189,5
189,60-1-d12-1.1.O,190,5
190,60-1-d12-1.1.O,191,5
191,60-1-d12-1.1.O,192,4
192,60-1-d12-1.1.O,193,4
193,60-1-d12-1.1.O,194,3
194,60-1-d12-1.1.O,195,3
195,60-1-d12-1.1.O,196,3
196,60-1-d12-1.1.O,197,2
197,60-1-d12-1.1.O,198,2
198,60-1-d12-1.1.O,199,4
199,60-1-d12-1.1.O,200,4
200,60-1-d12-1.3.I,1,4
201,60-1-d12-1.3.I,2,4
202,60-1-d12-1.3.I,3,4
203,60-1-d12-1.3.I,4,4
204,60-1-d12-1.3.I,5,4
205,60-1-d12-1.3.I,6,4
206,60-1-d12-1.3.I,7,4
207,60-1-d12-1.3.I,8,4
208,60-1-d12-1.3.I,9,2
209,60-1-d12-1.3.I,10,3
210,60-1-d12-1.3.I,11,3
211,60-1-d12-1.3.I,12,4
212,60-1-d12-1.3.I,13,4
213,60-1-d12-1.3.I,14,5
214,60-1-d12-1.3.I,15,5
215,60-1-d12-1.3.I,16,5
216,60-1-d12-1.3.I,17,5
217,60-1-d12-1.3.I,18,5
218,60-1-d12-1.3.I,19,5
219,60-1-d12-1.3.I,20,5
220,60-1-d12-1.3.I,21,4
221,60-1-d12-1.3.I,22,4
